Title,Author,Publication Date,Location,URL,Anger[0],Anger[1],Anger[2],Anger[3],Anger[4],Disgust[0],Disgust[1],Disgust[2],Disgust[3],Disgust[4],Fear[0],Fear[1],Fear[2],Fear[3],Fear[4],Joy[0],Joy[1],Joy[2],Joy[3],Joy[4],Sadness[0],Sadness[1],Sadness[2],Sadness[3],Sadness[4]
King Solomon's Mines,H. Rider Haggard,1885,United Kingdom,http://www.loyalbooks.com/download/text/King-Solomons-Mines-by-Haggard.txt,0.117215,0.132327,0.115586,0.138455,0.11656,0.084134,0.122601,0.519952,0.134883,0.142678,0.095054,0.123209,0.145105,0.171155,0.443744,0.599188,0.577533,0.586473,0.544346,0.575435,0.548572,0.581272,0.535293,0.577128,0.48869
Toilers of the Sea,Victor Hugo,1866,Belgium,http://www.loyalbooks.com/download/text/Toilers-of-the-Sea.txt,0.480389,0.125266,0.560845,0.131465,0.120066,0.109968,0.109232,0.098524,0.102246,0.498996,0.149231,0.165015,0.168987,0.65908,0.199456,0.573706,0.57148,0.536496,0.521955,0.550214,0.536648,0.204734,0.534773,0.497878,0.527422
An Old-Fashioned Girl,Louisa May Alcott,1869,United States,http://www.loyalbooks.com/download/text/An-Old-Fashioned-Girl-by-Lousia-May-Alcott.txt,0.129231,0.158917,0.118488,0.082334,0.140564,0.084286,0.103148,0.081959,0.067633,0.135045,0.102183,0.507554,0.138668,0.118325,0.174609,0.612876,0.560035,0.587639,0.680416,0.572835,0.490705,0.57943,0.559982,0.544025,0.58595
Oliver Twist,Charles Dickens,1837,England,http://www.loyalbooks.com/download/text/Oliver-Twist-by-Charles-Dickens.txt,0.555162,0.175905,0.463895,0.543071,0.152352,0.124035,0.113705,0.132557,0.480571,0.137955,0.124698,0.522803,0.179575,0.494479,0.544276,0.536412,0.611019,0.605387,0.528676,0.590998,0.197168,0.488934,0.49587,0.568951,0.582072
What Katy Did,Susan Coolidge,1872,United States,http://www.loyalbooks.com/download/text/What-Katy-Did-at-School-by-Susan-Coolidge.txt,0.080605,0.167116,0.109007,0.105525,0.126926,0.040965,0.124402,0.09648,0.092935,0.090915,0.080056,0.098862,0.172978,0.11165,0.622263,0.579092,0.597101,0.620415,0.624242,0.514217,0.455051,0.547669,0.588267,0.5437,0.57139
A Child's History of England,Charles Dickens,1852,England,http://www.loyalbooks.com/download/text/A-Childs-History-of-England-by-Charles-Dickens.txt,0.546402,0.182272,0.176972,0.176883,0.542399,0.129963,0.137312,0.143684,0.152432,0.439935,0.566953,0.530168,0.120909,0.13091,0.136332,0.58446,0.529121,0.560751,0.597168,0.550096,0.622419,0.583526,0.588413,0.539171,0.55501
Gulliver's Travels,Jonathan Swift,1726,Ireland,http://www.loyalbooks.com/download/text/Gullivers-Travels-by-Jonathan-Swift.txt,0.156643,0.514832,0.173836,0.162505,0.479779,0.133928,0.173173,0.112605,0.537357,0.148413,0.153909,0.616271,0.158998,0.107873,0.14102,0.587054,0.549955,0.583964,0.609843,0.551617,0.216173,0.528949,0.246648,0.537555,0.54632
Floor Games,H. G. Wells,1911,null,http://www.loyalbooks.com/download/text/Floor-Games.txt,0.138404,0.116691,0.123379,0.095757,0.128788,0.124859,0.15147,0.10765,0.470424,0.107139,0.112927,0.121074,0.121662,0.080517,0.143507,0.636394,0.585256,0.558114,0.596146,0.580295,0.185367,0.449691,0.1834,0.173231,0.180753
Pierre and Luce,Romain Rolland,1922,France,http://www.loyalbooks.com/download/text/Pierre-and-Luce.txt,0.130768,0.094524,0.535683,0.144996,0.111113,0.130601,0.096646,0.132798,0.557358,0.112103,0.579281,0.148603,0.588645,0.154819,0.134406,0.581694,0.634774,0.533187,0.595874,0.612119,0.484591,0.222983,0.534678,0.599527,0.517946
The Invisible Man,H.G. Wells,1897,United Kingdom,http://www.loyalbooks.com/download/text/Invisible-Man-by-H-G-Wells.txt,0.499877,0.556364,0.139547,0.188236,0.138937,0.16777,0.124547,0.111756,0.136624,0.137136,0.148729,0.538152,0.203943,0.597821,0.1885,0.587748,0.519148,0.52899,0.502444,0.569707,0.549976,0.508713,0.536304,0.574217,0.627531
